SKU,NAME,PO#1,Quantity Ordered1,Shipping Date1,ETA ATL1,PO#2,Quantity Ordered2,Shipping Date2,ETA ATL2,PO#3,Quantity Ordered3,Shipping Date3,ETA ATL3,PO#4,Quantity Ordered4,Shipping Date4,ETA ATL4
70001,,,,,,,,,,,,,,,,,
CONTINUOUS LOOP CORD,Continuous Loop Cord Mechanism,,,,,,,,,,,,,,,,
HOOKS,Hooks for Drapes,,,,,,,,,,,,,,,,
TEST  BEDDING,,,,,,,,,,,,,,,,,
RR00- MISC,Rollar Shade,,,,,,,,,,,,,,,,
PTFFLK-C23B-SW,Filigree Pearl Flocked Faux Silk Swatch,,,,,,,,,,,,,,,,
BOCH-174402-120-GR,Neutral Grommet Grey Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-174402-84-GRDW,Neutral Grey Grommet Doublewide Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-174402-96-GRDW,Neutral Grey Grommet Doublewide Blackout Curtain,PO20094,40,,12/28/2017,,,,,,,,,,,,
BOCH-174402-108-GRDW,Neutral Grey Grommet Doublewide Blackout Curtain,PO20094,72,,12/28/2017,,,,,,,,,,,,
BOCH-174402-120-GRDW,Neutral Grey Grommet Doublewide Blackout Curtain,PO20094,40,,12/28/2017,,,,,,,,,,,,
BOCH-174402-SW,Neutral Grey Blackout Swatch,,,,,,,,,,,,,,,,
BOCH-181449-84,Brick Red Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-181449-96,Brick Red Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-181449-108,Brick Red Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-181449-120,Brick Red Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-181449-SW,Brick Red Blackout Swatch,,,,,,,,,,,,,,,,
BOCH-183927-84,Durango Blue Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-183927-96,Durango Blue Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-183927-108,Durango Blue Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-183927-120,Durango Blue Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-183927-SW,Durango Blue Blackout Swatch,,,,,,,,,,,,,,,,
BOCH-184220-84,Poseidon Blue Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-184220-96,Poseidon Blue Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-184220-108,Poseidon Blue Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-184220-120,Poseidon Blue Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-184220-SW,Poseidon Blue Blackout Swatch,,,,,,,,,,,,,,,,
BOCH-184417-84,Dragonfly Teal Blackout Curtain,PO19619,198,,11/7/2017,,,,,,,,,,,,
BOCH-184417-96,Dragonfly Teal Blackout Curtain,PO19619,60,,11/7/2017,,,,,,,,,,,,
BOCH-184417-108,Dragonfly Teal Blackout Curtain,PO19619,90,,11/7/2017,,,,,,,,,,,,
BOCH-184417-120,Dragonfly Teal Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-184417-SW,Dragonfly Teal Blackout Swatch,,,,,,,,,,,,,,,,
BOCH-190303-63,Jet Black Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-190303-84,Jet Black Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-190303-96,Jet Black Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-190303-108,Jet Black Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-190303-120,Jet Black Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-190303-84-DW,Jet Black Doublewide Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-190303-96-DW,Jet Black Doublewide Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-190303-108-DW,Jet Black Doublewide Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-190303-120-DW,Jet Black Doublewide Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-190303-DW-SW,Jet Black Doublewide Blackout Swatch,,,,,,,,,,,,,,,,
BOCH-190303-63-GR,Jet Black Grommet Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-190303-84-GR,Jet Black Grommet Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-190303-96-GR,Jet Black Grommet Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-190303-108-GR,Jet Black Grommet Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-190303-120-GR,Jet Black Grommet Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-190303-84-GRDW,Jet Black Grommet Doublewide Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-190303-96-GRDW,Jet Black Grommet Doublewide Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-190303-108-GRDW,Jet Black Grommet Doublewide Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-190303-120-GRDW,Jet Black Grommet Doublewide Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-190303-SW,Jet Black Blackout Swatch,,,,,,,,,,,,,,,,
BOCH-191016-63,Java Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-191016-84,Java Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-191016-96,Java Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-191016-108,Java Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-191016-120,Java Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-191016-84-DW,Java Doublewide Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-191016-96-DW,Java Doublewide Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-191016-108-DW,Java Doublewide Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-191016-120-DW,Java Doublewide Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-191016-DW-SW,Java Doublewide Blackout Swatch,,,,,,,,,,,,,,,,
BOCH-191016-63-GR,Java Grommet Blackout Curtain,PO19390,30,8/20/2017,10/5/2017,,,,,,,,,,,,
BOCH-191016-84-GR,Java Grommet Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-191016-96-GR,Java Grommet Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-191016-108-GR,Java Grommet Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-191016-120-GR,Java Grommet Blackout Curtain,PO19390,30,8/20/2017,10/5/2017,,,,,,,,,,,,
