SKU,UPC,Price,BaseCustomPrice
CC-CD29-84,"799418017716","89.0000","89.0000"
CC-CD29-96,"799418017723","99.0000","99.0000"
CC-CD29-FB,"799418017778","15.0000","15.0000"
CC-CD29-FB,"799418017778","18.0000","18.0000"
CC-CD34-FB,"","15.0000","15.0000"
CC-CD34-FB,"","18.0000","18.0000"
CC-CD35-108,"799418017594","109.0000","109.0000"
CC-CD35-120,"799418017600","119.0000","119.0000"
CC-CD35-84,"799418017570","89.0000","89.0000"
CC-CD35-96,"799418017587","99.0000","99.0000"
CC-CD35-FB,"799418017631","15.0000","15.0000"
CC-CD35-FB,"799418017631","18.0000","18.0000"
CC-CD36-FB,"","15.0000","15.0000"
CC-CD36-FB,"","18.0000","18.0000"
CC-CD37-FB,"","15.0000","15.0000"
CC-CD37-FB,"","18.0000","18.0000"
CC-CD38-108,"799418017662","109.0000","109.0000"
CC-CD38-120,"799418017679","119.0000","119.0000"
CC-CD38-84,"799418017648","89.0000","89.0000"
CC-CD38-96,"799418017655","99.0000","99.0000"
CC-CD38-FB,"799418017709","15.0000","15.0000"
CC-CD38-FB,"799418017709","18.0000","18.0000"
CC-CD42-FB,"","15.0000","15.0000"
CC-CD42-FB,"","18.0000","18.0000"
CC-CD43-FB,"","15.0000","15.0000"
CC-CD43-FB,"","18.0000","18.0000"
CC-CD44-FB,"","15.0000","15.0000"
CC-CD44-FB,"","18.0000","18.0000"
CC-MA1-FB,"","18.0000","18.0000"
CC-MA2-FB,"","15.0000","15.0000"
CC-MA2-FB,"","18.0000","18.0000"
CC-MA3-108,"799418022734","109.0000","109.0000"
CC-MA3-120,"799418022741","119.0000","119.0000"
CC-MA3-84,"799418022710","89.0000","89.0000"
CC-MA3-96,"799418022727","99.0000","99.0000"
CC-MA3-FB,"799418022772","15.0000","15.0000"
CC-MA3-FB,"799418022772","18.0000","18.0000"
CC-MA4-FB,"","15.0000","15.0000"
CC-MA4-FB,"","18.0000","18.0000"
CC-MA5-108,"799418017310","109.0000","109.0000"
CC-MA5-120,"799418017327","119.0000","119.0000"
CC-MA5-84,"799418017297","89.0000","89.0000"
CC-MA5-96,"799418017303","99.0000","99.0000"
CC-MA5-FB,"799418017358","18.0000","18.0000"
CC-MA6-108,"799418017389","109.0000","109.0000"
CC-MA6-120,"799418017396","119.0000","119.0000"
CC-MA6-84,"799418017365","89.0000","89.0000"
CC-MA6-96,"799418017372","99.0000","99.0000"
CC-MA6-FB,"799418017426","18.0000","18.0000"
CC-MA7-FB,"","15.0000","15.0000"
CC-MA7-FB,"","18.0000","18.0000"
CC-MA71-FB,"","18.0000","18.0000"
CC-MA8-FB,"","18.0000","18.0000"
CC-MABB26-108,"799418017808","109.0000","109.0000"
CC-MABB26-120,"799418017815","119.0000","119.0000"
CC-MABB26-84,"799418017785","89.0000","89.0000"
CC-MABB26-96,"799418017792","99.0000","99.0000"
CC-MABB26-FB,"799418017846","15.0000","15.0000"
CC-MABB26-FB,"799418017846","18.0000","18.0000"
