SKU,Price,BASE CUSTOM PRICE
"CC-MA5-FB","18.0000","18.0000"
"CC-MA6-108","109.0000","109.0000"
"CC-MA6-120","119.0000","119.0000"
"CC-MA6-84","89.0000","89.0000"
"CC-MA6-96","99.0000","99.0000"
"CC-MA6-FB","18.0000","18.0000"
"CC-MA7-FB","18.0000","18.0000"
"CC-MA71-FB","18.0000","18.0000"
"CC-MA8-FB","18.0000","18.0000"
"CC-MABB26-108","109.0000","109.0000"
"CC-MABB26-120","119.0000","119.0000"
"CC-MABB26-84","89.0000","89.0000"
"CC-MABB26-96","99.0000","99.0000"
"CC-MABB26-FB","18.0000","18.0000"
"CC-MABB32-FB","18.0000","18.0000"
"CC-MAMGBB02-FB","18.0000","18.0000"
"CC-MASB78-FB","18.0000","18.0000"
"CC-MASB81-FB","18.0000","18.0000"
"CC-ROM-CAS","0.0000","0.0000"
"CC-ROM-FSL","0.0000","0.0000"
"CC-ROM-RLX","0.0000","0.0000"
"CC-ROM-SFL","0.0000","0.0000"
"CC-SB73-FB","18.0000","18.0000"
"CC-TEALBB29-108","109.0000","109.0000"
"CC-TEALBB29-120","119.0000","119.0000"
"CC-TEALBB29-84","89.0000","89.0000"
"CC-TEALBB29-96","99.0000","99.0000"
"CC-TEALBB29-FB","18.0000","18.0000"
"CRC-MYTH04-108","184.0000","184.0000"
"CRC-MYTH04-120","194.0000","194.0000"
"CRC-MYTH04-84","159.0000","159.0000"
"CRC-MYTH04-96","174.0000","174.0000"
"CRC-MYTH14-108","164.0000","164.0000"
"CRC-MYTH14-120","174.0000","174.0000"
"CRC-MYTH14-84","139.0000","139.0000"
"CRC-MYTH14-96","154.0000","154.0000"
"CRC-MYTH72-108","184.0000","184.0000"
"CRC-MYTH72-120","194.0000","194.0000"
"CRC-MYTH72-84","159.0000","159.0000"
"CRC-MYTH72-96","174.0000","174.0000"
"CRC-MYTH73-108","184.0000","184.0000"
"CRC-MYTH73-120","194.0000","194.0000"
"CRC-MYTH73-84","159.0000","159.0000"
"CRC-MYTH73-96","174.0000","174.0000"
"CRC-MYTH79-108","164.0000","164.0000"
"CRC-MYTH79-120","174.0000","174.0000"
"CRC-MYTH79-84","139.0000","139.0000"
"CRC-MYTH79-96","154.0000","154.0000"
"CRC-MYTH809-108","164.0000","164.0000"
"CRC-MYTH809-120","174.0000","174.0000"
"CRC-MYTH809-84","139.0000","139.0000"
"CRC-MYTH809-96","154.0000","154.0000"
"CZCH-CTZ1-108","59.0000","59.0000"
"CZCH-CTZ1-120","69.0000","69.0000"
"CZCH-CTZ1-84","39.0000","39.0000"
"CZCH-CTZ1-96","49.0000","49.0000"
"CZCH-CTZ12-108","59.0000","59.0000"
"CZCH-CTZ12-120","69.0000","69.0000"
"CZCH-CTZ12-84","39.0000","39.0000"
"CZCH-CTZ12-96","49.0000","49.0000"
"CZCH-CTZ2-108","59.0000","59.0000"
"CZCH-CTZ2-120","69.0000","69.0000"
"CZCH-CTZ2-84","39.0000","39.0000"
"CZCH-CTZ2-96","49.0000","49.0000"
"CZCH-CTZ5-108","59.0000","59.0000"
"CZCH-CTZ5-120","69.0000","69.0000"
"CZCH-CTZ5-84","39.0000","39.0000"
"CZCH-CTZ5-96","49.0000","49.0000"
"CZCH-CTZ6-108","59.0000","59.0000"
"CZCH-CTZ6-120","69.0000","69.0000"
"CZCH-CTZ6-84","39.0000","39.0000"
"CZCH-CTZ6-96","49.0000","49.0000"
"CZCH-CTZ9-108","59.0000","59.0000"
"CZCH-CTZ9-120","69.0000","69.0000"
"CZCH-CTZ9-84","39.0000","39.0000"
"CZCH-CTZ9-96","49.0000","49.0000"
"DIS-ID1-108","189.0000","189.0000"
"DIS-ID1-120","204.0000","204.0000"
"DIS-ID1-84","169.0000","169.0000"
"DIS-ID1-96","179.0000","179.0000"
"DIS-ID1-FB","40.0000","40.0000"
"DIS-ID112-108","189.0000","189.0000"
"DIS-ID112-120","204.0000","204.0000"
"DIS-ID112-84","169.0000","169.0000"
"DIS-ID112-96","179.0000","179.0000"
"DIS-ID112-FB","40.0000","40.0000"
"DIS-ID124-108","189.0000","189.0000"
"DIS-ID124-120","204.0000","204.0000"
"DIS-ID124-84","89.0000","169.0000"
"DIS-ID124-96","179.0000","179.0000"
"DIS-ID124-FB","40.0000","40.0000"
"DIS-ID15-108","189.0000","189.0000"
"DIS-ID15-120","204.0000","204.0000"
"DIS-ID15-84","169.0000","169.0000"
"DIS-ID15-96","179.0000","179.0000"
"DIS-ID15-FB","40.0000","40.0000"
"DIS-ID20-108","189.0000","189.0000"
"DIS-ID20-120","204.0000","204.0000"
"DIS-ID20-84","169.0000","169.0000"
"DIS-ID20-96","179.0000","179.0000"
"DIS-ID20-FB","40.0000","40.0000"
"DIS-ID221-108","189.0000","189.0000"
"DIS-ID221-120","204.0000","204.0000"
"DIS-ID221-84","169.0000","169.0000"
"DIS-ID221-96","179.0000","179.0000"
"DIS-ID221-FB","40.0000","40.0000"
"DIS-ID224-108","189.0000","189.0000"
"DIS-ID224-120","204.0000","204.0000"
"DIS-ID224-84","169.0000","169.0000"
"DIS-ID224-96","179.0000","179.0000"
"DIS-ID224-FB","40.0000","40.0000"
"DIS-ID37-108","189.0000","189.0000"
"DIS-ID37-120","204.0000","204.0000"
"DIS-ID37-84","169.0000","169.0000"
"DIS-ID37-96","179.0000","179.0000"
"DIS-ID37-FB","40.0000","40.0000"
"DIS-ID50-108","189.0000","189.0000"
"DIS-ID50-120","204.0000","204.0000"
"DIS-ID50-84","169.0000","169.0000"
"DIS-ID50-96","179.0000","179.0000"
"DIS-ID50-FB","40.0000","40.0000"
"DIS-ID511-108","189.0000","189.0000"
"DIS-ID511-120","204.0000","204.0000"
"DIS-ID511-84","169.0000","169.0000"
"DIS-ID511-96","179.0000","179.0000"
"DIS-ID511-FB","40.0000","40.0000"
"DIS-ID68-108","189.0000","189.0000"
"DIS-ID68-120","204.0000","204.0000"
"DIS-ID68-84","169.0000","169.0000"
"DIS-ID68-96","179.0000","179.0000"
"DIS-ID68-FB","40.0000","40.0000"
"DIS-ID7727-108","189.0000","189.0000"
"DIS-ID7727-120","204.0000","204.0000"
"DIS-ID7727-84","169.0000","169.0000"
"DIS-ID7727-96","179.0000","179.0000"
"DIS-ID7727-FB","40.0000","40.0000"
"DIS-ID7806-108","189.0000","189.0000"
"DIS-ID7806-120","204.0000","204.0000"
"DIS-ID7806-84","169.0000","169.0000"
"DIS-ID7806-96","179.0000","179.0000"
"DIS-ID7806-FB","40.0000","40.0000"
"DIS-ID7906-108","189.0000","189.0000"
"DIS-ID7906-120","204.0000","204.0000"
"DIS-ID7906-84","169.0000","169.0000"
"DIS-ID7906-96","179.0000","179.0000"
"DIS-ID7906-FB","40.0000","40.0000"
"DIS-ID9-108","189.0000","189.0000"
"DIS-ID9-120","204.0000","204.0000"
"DIS-ID9-84","169.0000","169.0000"
"DIS-ID9-96","179.0000","179.0000"
"DIS-ID9-FB","40.0000","40.0000"
"DS-ASST100-108","259.0000","259.0000"
"DS-ASST100-120","269.0000","269.0000"
"DS-ASST100-84","229.0000","229.0000"
"DS-ASST100-96","249.0000","249.0000"
"DS-ASST100-FB","60.0000","60.0000"
"DS-CHX14-108","259.0000","259.0000"
"DS-CHX14-120","269.0000","269.0000"
"DS-CHX14-84","229.0000","229.0000"
"DS-CHX14-96","249.0000","249.0000"
"DS-CHX14-FB","60.0000","60.0000"
"DS-CHX4-108","259.0000","259.0000"
"DS-CHX4-120","269.0000","269.0000"
"DS-CHX4-84","229.0000","229.0000"
"DS-CHX4-96","249.0000","249.0000"
"DS-CHX4-FB","60.0000","60.0000"
"DS-D12012-108","259.0000","259.0000"
"DS-D12012-120","269.0000","269.0000"
"DS-D12012-84","229.0000","229.0000"
"DS-D12012-96","249.0000","249.0000"
"DS-D12012-FB","60.0000","60.0000"
"DS-D22012-108","259.0000","213.0000"
"DS-D22012-120","269.0000","269.0000"
"DS-D22012-84","229.0000","215.0000"
"DS-D22012-96","249.0000","249.0000"
"DS-D22012-FB","60.0000","60.0000"
"DS-D32012-108","279.0000","279.0000"
"DS-D32012-120","289.0000","289.0000"
"DS-D32012-84","249.0000","249.0000"
"DS-D32012-96","269.0000","269.0000"
"DS-D32012-FB","60.0000","60.0000"
"DS-D42012-108","259.0000","259.0000"
"DS-D42012-120","269.0000","269.0000"
"DS-D42012-84","229.0000","229.0000"
"DS-D42012-96","249.0000","249.0000"
"DS-D42012-FB","60.0000","60.0000"
"DS-DST2-108","259.0000","259.0000"
"DS-DST2-120","269.0000","269.0000"
"DS-DST2-84","229.0000","229.0000"
"DS-DST2-96","249.0000","249.0000"
"DS-DST2-FB","60.0000","60.0000"
"DS-DST4-108","259.0000","259.0000"
"DS-DST4-120","269.0000","269.0000"
"DS-DST4-84","229.0000","229.0000"
"DS-DST4-96","249.0000","249.0000"
"DS-DST4-FB","60.0000","60.0000"
"DS-DUPST1-108","259.0000","259.0000"
"DS-DUPST1-120","269.0000","269.0000"
"DS-DUPST1-84","229.0000","229.0000"
"DS-DUPST1-96","249.0000","219.0000"
"DS-DUPST1-FB","60.0000","60.0000"
"DS-DXB20-108","279.0000","279.0000"
"DS-DXB20-120","289.0000","289.0000"
"DS-DXB20-84","249.0000","249.0000"
"DS-DXB20-96","269.0000","269.0000"
"DS-DXB20-FB","60.0000","60.0000"
"DS-DXB66-108","279.0000","279.0000"
"DS-DXB66-120","289.0000","289.0000"
"DS-DXB66-84","249.0000","249.0000"
"DS-DXB66-96","269.0000","269.0000"
"DS-DXB66-FB","60.0000","60.0000"
"DS-DXB69-108","269.0000","269.0000"
"DS-DXB69-120","279.0000","279.0000"
"DS-DXB69-84","239.0000","239.0000"
"DS-DXB69-96","259.0000","259.0000"
"DS-DXB69-FB","60.0000","60.0000"
"DS-EFCH10A-108","259.0000","259.0000"
"DS-EFCH10A-120","269.0000","269.0000"
"DS-EFCH10A-84","229.0000","229.0000"
"DS-EFCH10A-96","249.0000","249.0000"
"DS-EFCH10A-FB","60.0000","60.0000"
"DS-EFCH14-108","259.0000","259.0000"
"DS-EFCH14-120","269.0000","269.0000"
"DS-EFCH14-84","229.0000","229.0000"
"DS-EFCH14-96","249.0000","249.0000"
"DS-EFCH14-FB","60.0000","60.0000"
"DS-EFCH38-108","259.0000","259.0000"
"DS-EFCH38-120","269.0000","269.0000"
"DS-EFCH38-84","229.0000","229.0000"
"DS-EFCH38-96","249.0000","249.0000"
"DS-EFCH38-FB","60.0000","60.0000"
"DS-EMBS20131-108","269.0000","269.0000"
"DS-EMBS20131-120","279.0000","279.0000"
"DS-EMBS20131-84","239.0000","239.0000"
"DS-EMBS20131-96","259.0000","259.0000"
"DS-EMBS201310-108","309.0000","309.0000"
"DS-EMBS201310-120","319.0000","319.0000"
"DS-EMBS201310-84","279.0000","279.0000"
"DS-EMBS201310-96","299.0000","299.0000"
"DS-EMBS201311-108","309.0000","309.0000"
"DS-EMBS201311-120","319.0000","319.0000"
"DS-EMBS201311-84","279.0000","279.0000"
"DS-EMBS201311-96","299.0000","299.0000"
"DS-EMBS201312-108","329.0000","329.0000"
"DS-EMBS201312-120","339.0000","339.0000"
