SKU,UPC,Inventory On Hand, Location,Hemming Allowed
DS-EFCH14-1,"13","-24","Livermore Warehouse","No"
 ,SKU,UPC,Inventory On Hand, Location,Safety Lock Qty,Avilable For Channel Sales/HPD Website
,"DS-EFCH10A-FB","799665818920","0","Livermore Warehouse","0",""
,"DS-D22012-FB","799665818807","0","Livermore Warehouse","0",""
,"DS-TLT17-FB","799665818869","0","Livermore Warehouse","0",""
PDCH-ROM,"","0","Livermore Warehouse","No"
,"PDCH-ROM-CAS","799665813628","0","Livermore Warehouse","0",""
,"PDCH-KBS6-FB","799665823450","0","Livermore Warehouse","0",""
,"PDCH-ROM-SFL","799665813765","0","Livermore Warehouse","0",""
,"PDCH-ROM-FSL","799665813901","0","Livermore Warehouse","0",""
,"PDCH-ROM-RLX","799418021607","0","Livermore Warehouse","0",""
PTSCH-ROM,"","0","Livermore Warehouse","No"
,"PTSCH-13404-FB","799665833817","0","Livermore Warehouse","0",""
,"PTSCH-ROM-CAS","799665813642","0","Livermore Warehouse","0",""
,"PTSCH-ROM-SFL","799665813789","0","Livermore Warehouse","0",""
,"PTSCH-13401-FB","799665833572","0","Livermore Warehouse","0",""
,"PTSCH-13402-FB","799665833657","0","Livermore Warehouse","0",""
,"PTSCH-ROM-FSL","799665813925","0","Livermore Warehouse","0",""
,"PTSCH-ROM-RLX","799418019949","0","Livermore Warehouse","0",""
,"PTSCH-11083-FB","799665824990","0","Livermore Warehouse","0",""
,"PTSCH-11089-FB","799665824976","0","Livermore Warehouse","0",""
,"PTSCH-11091-FB","799665824839","0","Livermore Warehouse","0",""
,"PTSCH-11095-FB","799665824914","0","Livermore Warehouse","0",""
,"PTSCH-11096-FB","799665824693","0","Livermore Warehouse","0",""
,"PTSCH-12012-FB","799665824655","0","Livermore Warehouse","0","0"
,"PTSCH-13400-FB","799665833497","0","Livermore Warehouse","0",""
,"PTSCH-13403-FB","799665833732","0","Livermore Warehouse","0",""
,"PTSCH-32012-FB","799665824853","0","Livermore Warehouse","0",""
,"PTSCH-42012-FB","799665824891","0","Livermore Warehouse","0",""
,"PTSCH-52012-FB","799665824877","0","Livermore Warehouse","0",""
,"PTSCH-SLK218-FB","799665824945","0","Livermore Warehouse","0",""
,"PTSCH-72012-FB","799665824808","0","Livermore Warehouse","0",""
,"PTSCH-SLK211-FB","799665825027","0","Livermore Warehouse","0",""
,"PTSCH-11098-FB","799665824716","0","Livermore Warehouse","0",""
,"PTSCH-11100-FB","799665824754","0","Livermore Warehouse","0",""
,"PTSCH-11082-FB","799665824778","0","Livermore Warehouse","0",""
,"PTSCH-11087-FB","799665824679","0","Livermore Warehouse","0",""
,"PTSCH-11093-FB","799665824730","0","Livermore Warehouse","0",""
VPCH-ROM,"","0","Livermore Warehouse","No"
,"VPCH-192018-FB","799665830755","0","Livermore Warehouse","0",""
,"VPCH-ROM-CAS","799665813659","0","Livermore Warehouse","0",""
