SKU,UPC,Inventory On Hand, Livermore,Atlanta,Safety Lock Qty,Avilable For Channel Sales,Avilable For HPD Website,Hemming Allowed
BOCH-174402-96-GR,797734456479,189,0,189,0,160,160,N
BOCH-174402-96-GR,797734456486,160,0,160,0,160,160,N
BOCH-174402-120-GR,797734456493,126,48,78,0,126,126,N
BOCH-201305,,335,,,0,0,0,N
BOCH-201305-84,799665815165,0,0,0,0,0,0,N
BOCH-201305-96,799665815172,64,0,64,0,64,64,N
BOCH-201305-108,799665815189,186,0,186,0,186,186,N
BOCH-201305-120,799665815196,85,0,85,0,85,85,N
BOCH-201305-CUS,799665834036,0,0,0,0,0,0,N
BOCH-131009-SW,799665831226,157,157,0,0,157,157,N
BOCH-190303-SW,799665831349,394,394,0,0,394,394,N
BOCH-201304-SW,799665831493,152,152,0,0,152,152,N
BOCH-KC25-SW,799665825515,0,151,0,0,0,0,N
BOCH-KC21-SW,799665825195,0,124,0,0,0,0,N
BOCH-120601-SW,799665831196,170,170,0,0,170,170,N
BOCH-191016-SW,799665831318,346,346,0,0,346,346,N
BOCH-201302-SW,799665831431,132,132,0,0,132,132,N
BOCH-201305-SW,799665831523,161,161,0,0,161,161,N
BOCH-KC33,,283,,,0,0,0,N
BOCH-KC33-84,799665826093,64,0,64,0,64,64,N
BOCH-KC33-96,799665826109,77,0,77,0,77,77,N
BOCH-KC33-108,799665826123,121,0,121,0,121,121,N
BOCH-KC33-120,799665826116,21,0,21,0,21,21,N
BOCH-KC33-CUS,799665826130,0,0,0,0,0,0,N
BOCH-KC1,,885,,,0,0,0,N
BOCH-KC1-84,610395225577,209,209,0,0,209,209,N
BOCH-KC1-96,610395225584,242,242,0,0,242,242,N
BOCH-KC1-108,610395225591,345,345,0,0,345,345,N
BOCH-KC1-120,610395225607,89,89,0,0,89,89,N
BOCH-KC1-CUS,799665828332,0,0,0,0,0,0,N
BOCH-PL1605,,399,,,0,0,0,N
BOCH-PL1605-84,799665829377,26,0,26,0,26,26,N
BOCH-PL1605-96,799665829384,57,0,57,0,57,57,N
BOCH-PL1605-108,799665829407,194,0,194,0,194,194,N
BOCH-PL1605-120,799665829391,122,0,122,0,122,122,N
BOCH-PL1605-CUS,799665829414,0,0,0,0,0,0,N
BOCH-PL1602,,331,,,0,0,0,N
BOCH-PL1602-84,799665829216,0,0,0,0,0,0,N
BOCH-PL1602-96,799665829223,108,0,108,0,108,108,N
BOCH-PL1602-108,799665829247,141,0,141,0,141,141,N
BOCH-PL1602-120,799665829230,82,0,82,0,82,82,N
BOCH-PL1602-CUS,799665829254,0,0,0,0,0,0,N
BOCH-KC23-SW,799665825355,158,158,0,0,158,158,N
BOCH-KC33-SW,799665826154,153,153,0,0,153,153,N
BOCH-PL1609,,349,,,0,0,0,N
BOCH-PL1609-84,799665829698,29,0,29,0,29,29,N
BOCH-PL1609-96,799665829704,79,0,79,0,79,79,N
BOCH-PL1609-108,799665829728,138,0,138,0,138,138,N
BOCH-PL1609-120,799665829711,103,0,103,0,103,103,N
BOCH-PL1609-CUS,799665829735,0,0,0,0,0,0,N
BOCH-PL1601,,168,,,0,0,0,N
BOCH-PL1601-84,799665829131,58,0,58,0,58,58,N
BOCH-PL1601-96,799665829148,74,0,74,0,74,74,N
BOCH-PL1601-108,799665829162,36,0,36,0,36,36,N
BOCH-PL1601-120,799665829155,0,0,0,0,0,0,N
BOCH-PL1601-CUS,799665829179,0,0,0,0,0,0,N
BOCH-PL1604-SW,799665829353,0,117,0,0,0,0,N
BOCH-PL4201-SW,799665829919,142,142,0,0,142,142,N
BOCH-PL1608-SW,799665829674,0,121,0,0,0,0,N
BOCH-KC6,,369,,,0,0,0,N
BOCH-KC6-84,610395225652,85,85,0,0,85,85,N
BOCH-KC6-96,610395225669,119,119,0,0,119,119,N
BOCH-KC6-108,610395225676,120,120,0,0,120,120,N
BOCH-KC6-120,610395225683,45,45,0,0,45,45,N
BOCH-KC6-CUS,799665828172,0,0,0,0,0,0,N
BOCH-KC8,,711,,,0,0,0,N
BOCH-KC8-84,610395225898,125,125,0,0,125,125,N
BOCH-KC8-96,610395225904,234,234,0,0,234,234,N
BOCH-KC8-108,610395225911,205,205,0,0,205,205,N
BOCH-KC8-120,610395225928,147,147,0,0,147,147,N
BOCH-KC8-CUS,799665828295,0,0,0,0,0,0,N
BOCH-PL4201,,735,,,0,0,0,N
BOCH-PL4201-84,799665829858,119,0,119,0,119,119,N
BOCH-PL4201-96,799665829865,189,0,189,0,189,189,N
BOCH-PL4201-108,799665829889,273,0,273,0,273,273,N
BOCH-PL4201-120,799665829872,154,0,154,0,154,154,N
BOCH-PL4201-CUS,799665829896,0,0,0,0,0,0,N
BOCH-PL1608,,111,,,0,0,0,N
BOCH-PL1608-84,799665829612,29,0,29,0,29,29,N
BOCH-PL1608-96,799665829629,31,0,31,0,31,31,N
BOCH-PL1608-108,799665829643,28,0,28,0,28,28,N
BOCH-PL1608-120,799665829636,23,0,23,0,23,23,N
BOCH-PL1608-CUS,799665829650,0,0,0,0,0,0,N
BOCH-PL1605-SW,799665829438,0,142,0,0,0,0,N
BOCH-PL1607-SW,799665829599,155,155,0,0,155,155,N
BOCH-PL1609-SW,799665829759,0,149,0,0,0,0,N
BOCH-PL1610-SW,799665829834,0,135,0,0,0,0,N
BOCH-201301,,774,,,0,0,0,N
BOCH-201301-84,799665814847,117,22,95,0,117,117,N
BOCH-201301-96,799665814854,222,0,222,0,222,222,N
BOCH-201301-108,799665814861,234,0,234,0,234,234,N
BOCH-201301-120,799665814878,201,0,201,0,201,201,N
BOCH-201301-CUS,799665833954,0,0,0,0,0,0,N
BOCH-KC36,,221,,,0,0,0,N
BOCH-KC36-84,799665826338,0,0,0,0,0,0,N
BOCH-KC36-96,799665826345,58,0,58,0,58,58,N
BOCH-KC36-108,799665826369,106,0,106,0,106,106,N
BOCH-KC36-120,799665826352,57,0,57,0,57,57,N
BOCH-KC36-CUS,799665826376,0,0,0,0,0,0,N
BOCH-KC24,,-1,,,0,0,0,N
BOCH-KC24-84,799665825379,0,0,0,0,0,0,N
BOCH-KC24-96,799665825386,127,0,127,0,127,127,N
BOCH-KC24-108,799665825409,110,0,110,0,110,110,N
BOCH-KC24-120,799665825393,56,0,56,0,56,56,N
BOCH-KC24-CUS,799665825416,0,0,0,0,0,0,N
BOCH-131009,,0,,,0,0,0,N
BOCH-131009-84,797734455311,105,0,105,0,105,105,N
BOCH-131009-96,797734455328,268,86,182,0,268,268,N
BOCH-131009-108,797734455298,137,0,137,0,137,137,N
BOCH-131009-120,797734455304,93,0,93,0,93,93,N
BOCH-131009-CUS,799665833855,0,0,0,0,0,0,N
BOCH-131009-GR,,733,,,0,0,0,N
BOCH-131009-84-GR,797734456622,182,38,144,0,182,182,N
BOCH-131009-96-GR,797734456639,173,26,147,0,173,173,N
BOCH-131009-108-GR,797734456646,305,21,284,0,305,305,N
BOCH-131009-120-GR,797734456653,73,0,73,0,73,73,N
BOCH-190303-GR,,697,,,0,0,0,N
BOCH-190303-84-GR,797734456707,115,0,115,0,115,115,N
BOCH-190303-96-GR,797734456714,188,23,165,0,188,188,N
BOCH-190303-108-GR,797734456721,146,72,74,0,146,146,N
BOCH-190303-120-GR,797734456738,248,24,224,0,248,248,N
BOCH-201304,,477,,,0,0,0,N
BOCH-201304-84,799665815080,52,22,30,0,52,52,N
BOCH-201304-96,799665815097,129,50,79,0,129,129,N
BOCH-201304-108,799665815103,187,38,149,0,187,187,N
BOCH-201304-120,799665815110,109,0,109,0,109,109,N
BOCH-201304-CUS,799665834012,0,0,0,0,0,0,N
