z2t_ID,ZipCode,SalesTaxRate,RateState,ReportingCodeState,RateCounty,ReportingCodeCounty,RateCity,ReportingCodeCity,RateSpecialDistrict,ReportingCodeSpecialDistrict,City,PostOffice,State,County,ShippingTaxable,PrimaryRecord
74472,92364,8,7.5,0,0.5,31,0,,0,,Nipton,Nipton,CA,San Bernardino,0,1
74471,92364,8,7.5,0,0.5,31,0,,0,,Baker,Nipton,CA,San Bernardino,0,0
74474,92365,8,7.5,0,0.5,31,0,,0,,Newberry Springs,Newberry Springs,CA,San Bernardino,0,1
74475,92366,8,7.5,0,0.5,31,0,,0,,Mountain Pass,Mountain Pass,CA,San Bernardino,0,1
74476,92368,8,7.5,0,0.5,31,0,,0,,Oro Grande,Oro Grande,CA,San Bernardino,0,1
74477,92369,8,7.5,0,0.5,31,0,,0,,Patton,Patton,CA,San Bernardino,0,1
74478,92371,8,7.5,0,0.5,31,0,,0,,Phelan,Phelan,CA,San Bernardino,0,1
74479,92372,8,7.5,0,0.5,31,0,,0,,Pinon Hills,Pinon Hills,CA,San Bernardino,0,1
74480,92373,8,7.5,0,0.5,31,0,,0,,Marigold,Redlands,CA,San Bernardino,0,0
74485,92373,8,7.5,0,0.5,31,0,,0,,Redlands,Redlands,CA,San Bernardino,0,1
74486,92373,8,7.5,0,0.5,31,0,,0,,Smiley Heights,Redlands,CA,San Bernardino,0,0
74487,92374,8,7.5,0,0.5,31,0,,0,,Redlands,Redlands,CA,San Bernardino,0,1
74488,92375,8,7.5,0,0.5,31,0,,0,,Redlands,Redlands,CA,San Bernardino,0,1
74489,92376,8,7.5,0,0.5,31,0,,0,,Rialto,Rialto,CA,San Bernardino,0,1
74490,92377,8,7.5,0,0.5,31,0,,0,,Rialto,Rialto,CA,San Bernardino,0,1
74491,92378,8,7.5,0,0.5,31,0,,0,,Rimforest,Rimforest,CA,San Bernardino,0,1
74492,92382,8,7.5,0,0.5,31,0,,0,,Arrowbear Lake,Running Springs,CA,San Bernardino,0,0
74493,92382,8,7.5,0,0.5,31,0,,0,,Running Springs,Running Springs,CA,San Bernardino,0,1
74496,92384,8,7.5,0,0.5,14,0,,0,,Shoshone,Shoshone,CA,Inyo,0,1
74497,92385,8,7.5,0,0.5,31,0,,0,,Skyforest,Skyforest,CA,San Bernardino,0,1
74502,92386,8,7.5,0,0.5,31,0,,0,,Big Bear City,Sugarloaf,CA,San Bernardino,0,0
74503,92386,8,7.5,0,0.5,31,0,,0,,Sugarloaf,Sugarloaf,CA,San Bernardino,0,1
74504,92389,8,7.5,0,0.5,14,0,,0,,Tecopa,Tecopa,CA,Inyo,0,1
74505,92389,8,7.5,0,0.5,14,0,,0,,Tecopa Hot Springs,Tecopa,CA,Inyo,0,0
74506,92391,8,7.5,0,0.5,31,0,,0,,Twin Peaks,Twin Peaks,CA,San Bernardino,0,1
74507,92392,8,7.5,0,0.5,31,0,,0,,Victorville,Victorville,CA,San Bernardino,0,1
74508,92393,8,7.5,0,0.5,31,0,,0,,Victorville,Victorville,CA,San Bernardino,0,1
83648,92394,8,7.5,0,0.5,31,0,,0,,George Afb,Victorville,CA,San Bernardino,0,0
