83290,quantity
"FHLCH-YL7178109-96","51"
"FHLCH-YL7178117-108","0"
"FHLCH-YL7178117-120","0"
"FHLCH-YL7178117-84","0"
"FHLCH-YL7178117-96","0"
"JQCH-2012201-108","145"
"JQCH-2012201-120","0"
"JQCH-2012201-84","0"
"JQCH-2012201-96","97"
"JQCH-2012201-FP-108","33"
"JQCH-2012201-FP-120","31"
"JQCH-2012201-FP-84","35"
"JQCH-2012201-FP-96","34"
"JQCH-20122010-108","0"
"JQCH-20122010-120","0"
"JQCH-20122010-84","0"
"JQCH-20122010-96","0"
"JQCH-20122010-FP-108","0"
"JQCH-20122010-FP-120","21"
"JQCH-20122010-FP-84","0"
"JQCH-20122010-FP-96","0"
"JQCH-2012204-108","151"
"JQCH-2012204-120","87"
"JQCH-2012204-84","0"
"JQCH-2012204-96","116"
"JQCH-2012204-FP-108","0"
"JQCH-2012204-FP-120","22"
"JQCH-2012204-FP-84","33"
"JQCH-2012204-FP-96","0"
"JQCH-201263-108","38"
"JQCH-201263-120","23"
"JQCH-201263-84","0"
"JQCH-201263-96","0"
"JQCH-201263-FP-108","0"
"JQCH-201263-FP-120","23"
"JQCH-201263-FP-84","0"
"JQCH-201263-FP-96","53"
"JQCH-201266-108","0"
"JQCH-201266-120","0"
"JQCH-201266-84","0"
"JQCH-201266-96","0"
"JQCH-201266-FP-108","0"
"JQCH-201266-FP-120","0"
"JQCH-201266-FP-84","30"
"JQCH-201266-FP-96","0"
"JQCH-201268-108","0"
"JQCH-201268-120","0"
"JQCH-201268-84","0"
"JQCH-201268-96","0"
"JQCH-201268-FP-108","0"
"JQCH-201268-FP-120","0"
"JQCH-201268-FP-84","0"
"JQCH-201268-FP-96","0"
"JQCH-201301-108","0"
"JQCH-201301-120","0"
"JQCH-201301-84","0"
"JQCH-201301-96","32"
"JQCH-201301-FP-108","0"
"JQCH-201301-FP-120","21"
"JQCH-201301-FP-84","43"
"JQCH-201301-FP-96","0"
"JQCH-201302-108","25"
"JQCH-201302-120","0"
"JQCH-201302-84","0"
"JQCH-201302-96","28"
"JQCH-201302-FP-108","0"
"JQCH-201302-FP-120","0"
"JQCH-201302-FP-84","44"
"JQCH-201302-FP-96","25"
"JQCH-HANB10-108","85"
"JQCH-HANB10-120","44"
"JQCH-HANB10-84","41"
"JQCH-HANB10-96","90"
"JQCH-HANB11-108","80"
"JQCH-HANB11-120","43"
"JQCH-HANB11-84","0"
"JQCH-HANB11-96","73"
"JQCH-HANB12A-108","62"
"JQCH-HANB12A-120","0"
"JQCH-HANB12A-84","31"
"JQCH-HANB12A-96","63"
"JQCH-HANB12B-108","75"
"JQCH-HANB12B-120","0"
"JQCH-HANB12B-84","37"
"JQCH-HANB12B-96","73"
"JQCH-HANB13A-108","68"
"JQCH-HANB13A-120","38"
"JQCH-HANB13A-84","39"
"JQCH-HANB13A-96","37"
"JQCH-HANB13B-108","22"
"JQCH-HANB13B-120","0"
"JQCH-HANB13B-84","0"
"JQCH-HANB13B-96","0"
"JQCH-HANB13C-108","43"
"JQCH-HANB13C-120","0"
"JQCH-HANB13C-84","23"
"JQCH-HANB13C-96","22"
"JQCH-HANB13D-108","53"
"JQCH-HANB13D-120","38"
"JQCH-HANB13D-84","22"
"JQCH-HANB13D-96","74"
"JQCH-HANB14A-108","64"
"JQCH-HANB14A-84","0"
"JQCH-HANB14A-96","64"
"JQCH-HANB14B-108","0"
"JQCH-HANB14B-84","0"
"JQCH-HANB14B-96","67"
"JQCH-HANB14C-108","41"
"JQCH-HANB14C-84","0"
"JQCH-HANB14C-96","45"
"JQCH-HANB15-84","40"
"JQCH-HANB15-96","77"
"JQCH-HANB1A-108","66"
"JQCH-HANB1A-120","30"
"JQCH-HANB1A-84","33"
"JQCH-HANB1A-96","60"
"JQCH-HANB1B-108","62"
"JQCH-HANB1B-120","0"
"JQCH-HANB1B-84","32"
"JQCH-HANB1B-96","68"
"JQCH-HANB2-108","66"
"JQCH-HANB2-120","64"
"JQCH-HANB2-84","36"
"JQCH-HANB2-96","55"
"JQCH-HANB3A-108","78"
"JQCH-HANB3A-120","47"
"JQCH-HANB3A-84","37"
"JQCH-HANB3A-96","88"
"JQCH-HANB3B-108","81"
"JQCH-HANB3B-120","39"
"JQCH-HANB3B-84","30"
"JQCH-HANB3B-96","44"
"JQCH-HANB4-108","74"
"JQCH-HANB4-120","42"
"JQCH-HANB4-84","45"
"JQCH-HANB4-96","66"
"JQCH-HANB5A-108","83"
"JQCH-HANB5A-120","30"
"JQCH-HANB5A-84","42"
"JQCH-HANB5A-96","80"
"JQCH-HANB5B-108","35"
"JQCH-HANB5B-120","25"
"JQCH-HANB5B-84","0"
"JQCH-HANB5B-96","27"
"JQCH-HANB5C-108","55"
"JQCH-HANB5C-120","27"
"JQCH-HANB5C-84","0"
"JQCH-HANB5C-96","35"
"JQCH-HANB6-108","0"
"JQCH-HANB6-120","0"
"JQCH-HANB6-84","0"
"JQCH-HANB6-96","0"
"JQCH-HANB7-108","0"
"JQCH-HANB7-120","22"
"JQCH-HANB7-84","0"
"JQCH-HANB7-96","0"
"JQCH-HANB8-108","59"
"JQCH-HANB8-120","33"
"JQCH-HANB8-84","32"
"JQCH-HANB8-96","39"
"JQCH-HANB9-108","59"
"JQCH-HANB9-120","40"
"JQCH-HANB9-84","39"
"JQCH-HANB9-96","79"
"LN-5000-108","0"
"LN-5000-120","0"
"LN-5000-84","0"
"LN-5000-96","0"
"LN-5100-108","0"
"LN-5100-120","0"
"LN-5100-84","0"
"LN-5100-96","0"
"LN-5175-108","28"
"LN-5175-120","0"
"LN-5175-84","0"
"LN-5175-96","22"
"LN-5176-108","0"
"LN-5176-120","52"
"LN-5176-84","0"
"LN-5176-96","22"
"LN-5177-108","32"
"LN-5177-120","0"
"LN-5177-84","0"
"LN-5177-96","34"
"LN-5178-108","29"
"LN-5178-120","0"
"LN-5178-84","0"
"LN-5178-96","0"
"LN-5179-108","23"
"LN-5179-120","0"
"LN-5179-84","0"
"LN-5179-96","24"
"LN-5520-108","0"
"LN-5520-120","0"
"LN-5520-84","0"
"LN-5520-96","0"
"PDCH-HANB08-108","75"
"PDCH-HANB08-120","44"
"PDCH-HANB08-84","52"
"PDCH-HANB08-96","100"
"PDCH-HANB10-108","94"
"PDCH-HANB10-120","41"
"PDCH-HANB10-84","56"
"PDCH-HANB10-96","110"
"PDCH-HANB23-108","91"
"PDCH-HANB23-120","52"
"PDCH-HANB23-84","32"
"PDCH-HANB23-96","75"
