SKU,Inventory,PRICE,DISCONTINUED,Active,Name,subsku,upc,inventory parent
"PRTW-D23-SW","33","0.9900",,Active,"Mecca Printed Cotton Swatch","PRTW-D23-SW","799665826871","33"
"PRTW-D06A-SW","35","0.9900",,Active,"Nairobi Desert Printed Cotton Swatch","PRTW-D06A-SW","799665827878","35"
"PRTW-D27-SW","0","0.9900",,Active,"Panama Printed Cotton Swatch","PRTW-D27-SW","799665827038","0"
"PRTW-D22-SW","35","0.9900",,Active,"Sorong Printed Cotton Swatch","PRTW-D22-SW","799665826796","35"
"PRTW-D05-SW","33","0.9900",,Active,"Allium Blue Gray Printed Cotton Swatch","PRTW-D05-SW","799665827953","33"
"PRTW-D09-SW","35","0.9900",,Active,"Bali Red Printed Cotton Swatch","PRTW-D09-SW","799665827557","35"
"PRTW-D15-SW","89","0.9900",,Active,"Cabana Burgundy Printed Cotton Swatch","PRTW-D15-SW","799665827717","89"
"PRTW-D16-SW","0","0.9900",,Active,"Cabana Navy Printed Cotton Swatch","PRTW-D16-SW","799665827755","0"
"PRTW-D32-SW","0","0.9900",,Active,"Cabana Teal Printed Cotton Swatch","PRTW-D32-SW","799665827434","0"
"PRTW-D33-SW","0","0.9900",,Active,"Cabana Yellow Printed Cotton Swatch","PRTW-D33-SW","799665827519","0"
"PRTW-D25-SW","34","0.9900",,Active,"Honeycomb Printed Cotton Swatch","PRTW-D25-SW","799665823139","34"
"PRTW-D24B-SW","35","0.9900",,Active,"Ikat Black Printed Cotton Swatch","PRTW-D24B-SW","799665823054","35"
"PRTW-D12-SW","33","0.9900",,Active,"Impressions Grey Printed Cotton Swatch","PRTW-D12-SW","799665827991","33"
"PRTW-D11-SW","90","0.9900",,Active,"Isles Mustard Printed Cotton Swatch","PRTW-D11-SW","799665828035","90"
"PRTW-D28-SW","34","0.9900",,Active,"Marabella Printed Cotton Swatch","PRTW-D28-SW","799665823214","34"
"PRTW-D02-SW","34","0.9900",,Active,"Mayan Teal Printed Cotton Swatch","PRTW-D02-SW","799665827793","34"
"PRTW-D20-SW","34","0.9900",,Active,"Medina Printed Cotton Swatch","PRTW-D20-SW","799665826635","34"
"PRTW-D06B-SW","34","0.9900",,Active,"Nairobi Denim Printed Cotton Swatch","PRTW-D06B-SW","799665827830","34"
"PRTW-D01-SW","35","0.9900",,Active,"Ogee Black Printed Cotton Swatch","PRTW-D01-SW","799665827915","35"
"PRTW-D21-SW","35","0.9900",,Active,"Palu Printed Cotton Swatch","PRTW-D21-SW","799665826710","35"
"PRTW-D30-SW","30","0.9900",,Active,"Picante Stripes Printed Cotton Swatch","PRTW-D30-SW","799665827274","30"
"PRTW-D04-SW","0","0.9900",,Active,"Sahara Desert Printed Cotton Swatch","PRTW-D04-SW","799665827632","0"
"PRTW-D29B-SW","34","0.9900",,Active,"Tide Pools Printed Cotton Swatch","PRTW-D29B-SW","799665827199","34"
"PRTW-D29A-SW","34","0.9900",,Active,"Tide Sands Printed Cotton Swatch","PRTW-D29A-SW","799665827113","34"
"SHCH-EMB20131A-SW","176","0.9900",,Active,"Florentina White Embroidered Sheer Swatch","SHCH-EMB20131A-SW","799418015934","176"
"SHCH-EMB20131B-SW","168","0.9900",,Active,"Florentina Silver Embroidered Sheer Swatch","SHCH-EMB20131B-SW","799418015965","168"
"SHCH-EMB20132A-SW","184","0.9900",,Active,"Vita Taupe Gold Embroidered Sheer Swatch","SHCH-EMB20132A-SW","799418015996","184"
"SHCH-EMB20132B-SW","187","0.9900",,Active,"Vita Off White Embroidered Sheer Swatch","SHCH-EMB20132B-SW","799418016023","187"
"SHCH-EMB20133A-SW","186","0.9900",,Active,"Contessa Gold Embroidered Sheer Swatch","SHCH-EMB20133A-SW","799418016054","186"
"SHCH-EMB20133B-SW","182","0.9900",,Active,"Contessa Creme Embroidered Sheer Swatch","SHCH-EMB20133B-SW","799418016085","182"
"SHCH-EMBOCS3293-SW","34","0.9900",,Active,"Juliette Ivory Embroidered Sheer Swatch","SHCH-EMBOCS3293-SW","799418016115","34"
"SHCH-EMBOCS3231-SW","34","0.9900",,Active,"Camille Taupe Gold Embroidered Sheer Swatch","SHCH-EMBOCS3231-SW","799418016146","34"
"SHCH-EMBOCS4084-SW","34","0.9900",,Active,"Lunetta Taupe Gold Embroidered Sheer Swatch","SHCH-EMBOCS4084-SW","799418016177","34"
"SHCH-EMBOCS3595-SW","35","0.9900",,Active,"Cleopatra Gold Embroidered Sheer Swatch","SHCH-EMBOCS3595-SW","799418016207","35"
"SHCH-EMB20135-SW","175","0.9900",,Active,"Bella Gold Embroidered Sheer Swatch","SHCH-EMB20135-SW","799418016238","175"
"SHCH-EMB20136-SW","184","0.9900",,Active,"Alegra Gold Embroidered Sheer Swatch","SHCH-EMB20136-SW","799418016269","184"
"SHCH-EMB20137-SW","187","0.9900",,Active,"Esparanza Copper Embroidered Sheer Swatch","SHCH-EMB20137-SW","799418016290","187"
"SHCH-EMB20138-SW","170","0.9900",,Active,"Gia Gold Embroidered Sheer Swatch","SHCH-EMB20138-SW","799418016320","170"
"SHCH-VOL3-SW","472","0.6000",,Inactive,"Solid Off White Voile Poly Sheer Swatch","SHCH-VOL3-SW","799418015545","472"
"SHCH-VOL1-SW","526","0.6000",,Inactive,"Solid White Voile Poly Sheer Swatch","SHCH-VOL1-SW","799418015538","526"
"SHCH-VOL3-SW","472","0.9900",,Active,"Solid Off White Voile Poly Sheer Swatch","SHCH-VOL3-SW","799418015545","472"
"SHCH-VOL1-SW","524","0.9900",,Active,"Solid White Voile Poly Sheer Swatch","SHCH-VOL1-SW","799418015538","524"
"PTSCH-11091-84","0","0.0000",,Active,"Annabelle Faux Silk Taffeta Stripe Curtain","PTSCH-11091-84","610395223467","0"
"PTSCH-11091-96","0","10.0000",,Active,"Annabelle Faux Silk Taffeta Stripe Curtain","PTSCH-11091-96","610395223474","0"
"PTSCH-11091-108","76","20.0000",,Active,"Annabelle Faux Silk Taffeta Stripe Curtain","PTSCH-11091-108","610395223481","0"
"PTSCH-11091-120","0","30.0000",,Active,"Annabelle Faux Silk Taffeta Stripe Curtain","PTSCH-11091-120","610395223498","0"
"VPCH-VET1216-96","130","0.0000",,Active,"Signature Burgundy Double Wide Velvet Blackout Pole Pocket Curtain","VPCH-VET1216-96","610395225003","0"
"VPCH-VET1216-108","149","10.0000",,Active,"Signature Burgundy Double Wide Velvet Blackout Pole Pocket Curtain","VPCH-VET1216-108","610395224983","0"
"VPCH-VET1216-120","53","20.0000",,Active,"Signature Burgundy Double Wide Velvet Blackout Pole Pocket Curtain","VPCH-VET1216-120","610395224990","0"
"VPCH-VET1214-96","109","0.0000",,Active,"Signature Java Double Wide Velvet Blackout Pole Pocket Curtain","VPCH-VET1214-96","610395224969","0"
