ID,image,Discontinue,SKU,Name,UPC
"testtt","",,"DIS-ID68","Shoreline Textured Dupioni Silk Curtain","797734450491"
"testtt","",,"VPCH-VET1211","Signature Amber Gold Doublewide Blackout Velvet Curtain","610395225096"
"testtt","",,"VPCH-VET1212","Signature Black Doublewide Blackout Velvet Curtain","610395225010"
"testtt","",,"VPCH-192018","Signature Burgundy Blackout Velvet Curtain","610395223061"
"testtt","",,"VPCH-VET1216","Signature Burgundy Doublewide Blackout Velvet Curtain","610395224976"
"testtt","",,"VPCH-192315","Signature Eggplant Blackout Velvet Curtain","610395223108"
"testtt","",,"VPCH-193810","Signature Federal Blue Blackout Velvet Curtain","610395223146"
"testtt","",,"VPCH-190622","Signature Hunter Green Blackout Velvet Curtain","610395222989"
"testtt","",,"VPCH601","Signature Ivory Blackout Velvet Curtain","610395222828"
"testtt","",,"VPCH601-SW","Signature Ivory Blackout Velvet Swatch","799665830663"
"testtt","",,"VPCH-VET1217","Signature Ivory Doublewide Blackout Velvet Curtain","610395224853"
"testtt","",,"VPCH-190912","Signature Java Blackout Velvet Curtain","610395223023"
"testtt","",,"VPCH-VET1214","Signature Java Doublewide Blackout Velvet Curtain","610395224938"
"testtt","",,"VPCH-194023","Signature Midnight Blue Blackout Velvet Curtain","610395223221"
"testtt","",,"VPCH-VET1215","Signature Midnight Blue Doublewide Blackout Velvet Curtain","610395225058"
"testtt","",,"VPCH-184005","Signature Natural Grey Blackout Velvet Curtain","610395222767"
"testtt","",,"VPCH-110602","Signature Off White Blackout Velvet Curtain","610395222804"
"testtt","",,"VPCH-145002","Signature Silver Grey Blackout Velvet Curtain","610395222903"
"testtt","",,"VPCH-VET1213","Signature Silver Grey Doublewide Blackout Velvet Curtain","610395224891"
"testtt","",,"VPCH-194007","Signature Warm Black Blackout Velvet Curtain","610395223184"
"testtt","",,"VPCH-141113","Signature Wheat Blackout Velvet Curtain","610395222866"
"testtt","",,"PDCH-KBS9","Silver Vintage Textured Faux Dupioni Silk Curtain","797734455885"
"testtt","",,"PDCH-KBS11","Smokey Plum Vintage Textured Faux Dupioni Silk Curtain","797734456004"
"testtt","",,"PRTW-D22","Sorong Printed Cotton Curtain","799665826734"
"testtt","",,"BOCH-KC1","Sundip Stripe Blackout Curtain","610395225577"
"testtt","",,"DIS-ID20","Sunrise Gold Textured Dupioni Silk Curtain","610395223269"
"testtt","",,"SSTF-5","Tahitian Teal Silk Taffeta Curtain","610395233572"
"testtt","",,"PTFFLK-C25","Taurean Copper Flocked Faux Silk Curtain","799418012131"
"testtt","",,"PRTW-D29B","Tide Pools Printed Cotton Curtain","799665827137"
"testtt","",,"PRTW-D29A","Tide Sands Printed Cotton Curtain","799665827052"
"testtt","",,"BOCH-KC23","Trellise Blackout Curtain","799665825294"
"testtt","",,"FHLCH-YL3008","Trinidad Hemp Linen Blend Stripe Curtain","799665828899"
"testtt","",,"FHLCH-YL3010B","Trinidad Natural Linen Blend Stripe Curtain","799665828974"
"testtt","",,"BOCH-KC33","Tugra Blackout Curtain","799665826093"
"testtt","",,"SHFLNCH-M013","Tumbleweed Faux Linen Sheer Curtain","610395226451"
"testtt","",,"CZCH-CTZ6","Turquoise Cotenza Curtain","610395221715"
"testtt","",,"CZCH-CTZ6-GR","Turquoise Cotenza Grommet Curtain","610395221753"
"testtt","",,"CZCH-CTZ2","Vanilla Cotenza Curtain","610395221791"
"testtt","",,"CZCH-CTZ2-GR","Vanilla Cotenza Grommet Curtain","610395221838"
"testtt","",,"PTSCH-11082","Verona Faux Silk Taffeta Stripe Curtain","610395223344"
"testtt","",,"PTCH-JTSP29","White Faux Silk Taffeta Curtain","610395224204"
"testtt","",,"SHFLNCH-M011","White Orchid Faux Linen Sheer Curtain","610395226376"
"testtt","",,"DIS-ID7906","Winter Blue Textured Dupioni Silk Curtain","797734450095"
"testtt","",,"PTCH-JTSP207","Wisteria Blue Faux Silk Taffeta Curtain","799665824259"
"testtt","",,"PTCH-JTSP204","Hollywood Red Faux Silk Taffeta Curtain","799665824013"
"testtt","",,"BOCH-KC34C","Sunburst Blackout Curtain","799665826178"
"testtt","",,"JQCH-HANB4","Xena Faux Silk Jacquard Curtain","799418012698"
"testtt","",,"JQCH-HANB6","Dahl Multi Jacquard Curtain","799418012971"
"testtt","",,"JQCH-HANB13D","Surrey Ivory Jacquard Curtain","799418013749"
"testtt","",,"VPCH-120601-SW","Signature Ivory Velvet Swatch","799665830663"
"testtt","",,"VPCH-120601-SW","Signature Ivory Velvet Swatch","799665830663"
"testtt","",,"BOCH-120601-SW","Eggnog Blackout Swatch","799665831196"
"testtt","",,"PDCH-KBS3-84","","797734455687"
"testtt","",,"PDCH-KBS3-96","","797734455694"
"testtt","",,"PDCH-KBS3-108","","797734455700"
"testtt","",,"PDCH-KBS3-120","","797734455717"
"testtt","",,"PTSCH-11091-84","","610395223467"
"testtt","",,"PTSCH-11091-96","","610395223474"
"testtt","",,"PTSCH-11091-108","","610395223481"
"testtt","",,"PTSCH-11091-120","","610395223498"
"testtt","",,"VPCH-VET1216-96","","610395225003"
"testtt","",,"VPCH-VET1216-108","","610395224983"
"testtt","",,"VPCH-VET1216-120","","610395224990"
"testtt","",,"VPCH-VET1214-96","","610395224969"
"testtt","",,"VPCH-VET1214-108","","610395224945"
"testtt","",,"VPCH-VET1214-120","","610395224952"
"testtt","",,"PTS-22012-96","","610395222361"
"testtt","",,"PTS-22012-108","","610395222378"
"testtt","",,"PTS-22012-120","","610395222385"
"testtt","",,"DIS-ID15-84","","797734449730"
"testtt","",,"DIS-ID15-96","","797734449747"
"testtt","",,"DIS-ID15-108","","797734449754"
"testtt","",,"DIS-ID15-120","","797734449761"
"testtt","",,"DIS-ID224-84","","797734449778"
"testtt","",,"DIS-ID224-96","","797734449785"
"testtt","",,"DIS-ID224-108","","797734449792"
"testtt","",,"DIS-ID224-120","","797734449808"
"testtt","",,"VCCH-VET1201-84","","610395227298"
"testtt","",,"VCCH-VET1201-96","","610395227304"
"testtt","",,"VCCH-VET1201-108","","610395227311"
"testtt","",,"VCCH-VET1201-120","","610395227328"
"testtt","",,"VCCH-VET1208-84","","610395227571"
"testtt","",,"VCCH-VET1208-96","","610395227588"
"testtt","",,"VCCH-VET1208-108","","610395227595"
"testtt","",,"VCCH-VET1208-120","","610395227601"
"testtt","",,"PDCH-KBS16-84","","797734458718"
"testtt","",,"CZCH-CTZ3-84","","610395221074"
"testtt","",,"CZCH-CTZ3-120","","610395221104"
"testtt","",,"DIS-ID7806-84","","797734449976"
"testtt","",,"DIS-ID7806-96","","797734449983"
"testtt","",,"DIS-ID7806-108","","797734449990"
"testtt","",,"DIS-ID7806-120","","797734450002"
"testtt","",,"PTSCH-11087-84","","610395223429"
"testtt","",,"PTSCH-11087-96","","610395223436"
"testtt","",,"PTSCH-11087-108","","610395223443"
"testtt","",,"PTSCH-11087-120","","610395223450"
"testtt","",,"CZCH-CTZ12-84","","610395220916"
"testtt","",,"CZCH-CTZ12-96","","610395220923"
"testtt","",,"CZCH-CTZ12-120","","610395220947"
"testtt","",,"VCCH-VET1202-84","","610395227335"
"testtt","",,"VCCH-VET1202-96","","610395227342"
"testtt","",,"VCCH-VET1202-108","","610395227359"
"testtt","",,"VCCH-VET1202-120","","610395227366"
"testtt","",,"DIS-ID124-84","","797734449815"
"testtt","",,"DIS-ID124-96","","797734449822"
"testtt","",,"DIS-ID124-108","","797734449839"
"testtt","",,"DIS-ID124-120","","797734449846"
"testtt","",,"CZCH-CTZ5-84","","610395220992"
"testtt","",,"CZCH-CTZ5-96","","610395221005"
"testtt","",,"CZCH-CTZ5-120","","610395221029"
"testtt","",,"VCCH-VET1203-84","","610395227373"
"testtt","",,"VCCH-VET1203-96","","610395227380"
"testtt","",,"VCCH-VET1203-108","","610395227397"
"testtt","",,"VCCH-VET1203-120","","610395227403"
"testtt","",,"CZCH-CTZ10-84","","610395221159"
"testtt","",,"CZCH-CTZ10-96","","610395221166"
"testtt","",,"CZCH-CTZ10-120","","610395221180"
"testtt","",,"PDCH-KBS6-84","","797734455809"
"testtt","",,"PDCH-KBS6-96","","797734455816"
"testtt","",,"PDCH-KBS6-108","","797734455823"
"testtt","",,"PDCH-KBS6-120","","797734455830"
"testtt","",,"PTSCH-11093-84","","797734451788"
"testtt","",,"PTSCH-11093-96","","797734451795"
"testtt","",,"PTSCH-11093-108","","797734451801"
"testtt","",,"PTSCH-11093-120","","797734451818"
"testtt","",,"DIS-ID112-84","","797734450255"
"testtt","",,"DIS-ID112-96","","797734450262"
"testtt","",,"DIS-ID112-108","","797734450279"
"testtt","",,"DIS-ID112-120","","797734450286"
"testtt","",,"DIS-ID1-84","","797734450453"
"testtt","",,"DIS-ID1-96","","797734450460"
"testtt","",,"DIS-ID1-108","","797734450477"
"testtt","",,"DIS-ID1-120","","797734450484"
"testtt","",,"DIS-ID9-84","","797734450378"
"testtt","",,"DIS-ID9-96","","797734450385"
"testtt","",,"DIS-ID9-108","","797734450392"
"testtt","",,"DIS-ID9-120","","797734450408"
"testtt","",,"DIS-ID50-84","","797734450330"
"testtt","",,"DIS-ID50-96","","797734450347"
"testtt","",,"DIS-ID50-108","","797734450354"
"testtt","",,"DIS-ID50-120","","797734450361"
"testtt","",,"DIS-ID37-84","","797734450057"
"testtt","",,"DIS-ID37-96","","797734450064"
"testtt","",,"DIS-ID37-108","","797734450071"
"testtt","",,"DIS-ID37-120","","797734450088"
"testtt","",,"DIS-ID68-84","","797734450491"
"testtt","",,"DIS-ID68-108","","797734450514"
"testtt","",,"DIS-ID68-120","","797734450521"
"testtt","",,"VCCH-VET12010-84","","610395227656"
"testtt","",,"VCCH-VET12010-96","","610395227663"
"testtt","",,"VCCH-VET12010-108","","610395227670"
"testtt","",,"VCCH-VET12010-120","","610395227687"
"testtt","",,"PTCH-JTSP102-84","","610395224044"
