Part Number,Description,Quantity of Products,ETA Backorder date,DISCONTINUED,Qty
"BOCH-PL1607-108","Half Price Drapes BOCH-PL1607 Parisian Bellino Blackout Curtain","126",,"No",
"BOCH-PL1607-120","Half Price Drapes BOCH-PL1607 Parisian Bellino Blackout Curtain","22",,"No",
"BOCH-PL1607-84","Half Price Drapes BOCH-PL1607 Parisian Bellino Blackout Curtain","42",,"No",
"BOCH-PL1607-96","Half Price Drapes BOCH-PL1607 Parisian Bellino Blackout Curtain","117",,"No",
"BOCH-PL1608-108","Half Price Drapes BOCH-PL1608 Ginger Bellino Blackout Curtain","18",,"No",
"BOCH-PL1608-120","Half Price Drapes BOCH-PL1608 Ginger Bellino Blackout Curtain","13",,"No",
"BOCH-PL1608-84","Half Price Drapes BOCH-PL1608 Ginger Bellino Blackout Curtain","19",,"No",
"BOCH-PL1608-96","Half Price Drapes BOCH-PL1608 Ginger Bellino Blackout Curtain","21",,"No",
"BOCH-PL1609-108","Half Price Drapes BOCH-PL1609 Persimmon Bellino Blackout Curtain","128","'05/11/15","No","120"
"BOCH-PL1609-120","Half Price Drapes BOCH-PL1609 Persimmon Bellino Blackout Curtain","93","'05/11/15","No","40"
"BOCH-PL1609-84","Half Price Drapes BOCH-PL1609 Persimmon Bellino Blackout Curtain","19",,"No",
"BOCH-PL1609-96","Half Price Drapes BOCH-PL1609 Persimmon Bellino Blackout Curtain","69","'05/11/15","No","140"
"BOCH-PL1610-108","Half Price Drapes BOCH-PL1610 Turkish Coffee Bellino Blackout Curtain","0","'05/11/15","No","80"
"BOCH-PL1610-120","Half Price Drapes BOCH-PL1610 Turkish Coffee Bellino Blackout Curtain","0","'05/11/15","No","50"
"BOCH-PL1610-84","Half Price Drapes BOCH-PL1610 Turkish Coffee Bellino Blackout Curtain","12","'05/11/15","No","80"
"BOCH-PL1610-96","Half Price Drapes BOCH-PL1610 Turkish Coffee Bellino Blackout Curtain","0","'05/11/15","No","140"
"BOCH-PL4201-108","Half Price Drapes BOCH-PL4201 Cottage Bellino Blackout Curtain","263",,"No",
"BOCH-PL4201-120","Half Price Drapes BOCH-PL4201 Cottage Bellino Blackout Curtain","144",,"No",
"BOCH-PL4201-84","Half Price Drapes BOCH-PL4201 Cottage Bellino Blackout Curtain","109",,"No",
"BOCH-PL4201-96","Half Price Drapes BOCH-PL4201 Cottage Bellino Blackout Curtain","179",,"No",
"DIS-ID112-108","Chili Pepper Textured Dupioni Silk Curtain, 50X108","0",,"No",
"DIS-ID112-120","Chili Pepper Textured Dupioni Silk Curtain, 50X120","0",,"No",
"DIS-ID112-84","Chili Pepper Textured Dupioni Silk Curtain, 50X84","0",,"No",
"DIS-ID112-96","Chili Pepper Textured Dupioni Silk Curtain, 50X96","0",,"No",
"DIS-ID20-120","Sunrise Gold Textured Dupioni Silk Curtain, 50X120","0",,"No",
"DIS-ID221-108","Navy Textured Dupioni Silk Curtain, 50X108","0",,"No",
"DIS-ID221-120","Navy Textured Dupioni Silk Curtain, 50X120","0",,"No",
"DIS-ID221-96","Navy Textured Dupioni Silk Curtain, 50X96","0",,"No",
"DIS-ID224-120","Black Textured Dupioni Silk Curtain, 50X120","0",,"No",
"DIS-ID50-108","Mocha Textured Dupioni Silk Curtain, 50X108","41","'06/15/15","No","20"
"DIS-ID50-120","Mocha Textured Dupioni Silk Curtain, 50X120","33","'06/15/15","No","40"
"DIS-ID7806-108","Cashmere Textured Dupioni Silk Curtain, 50X108","58","'06/15/15","No","112"
"DIS-ID7806-120","Cashmere Textured Dupioni Silk Curtain, 50X120","30","'06/15/15","No","80"
"DIS-ID9-108","Maplewood Textured Dupioni Silk Curtain, 50X108","92","'06/15/15","No","50"
"DIS-ID9-120","Maplewood Textured Dupioni Silk Curtain, 50X120","37","'06/15/15","No","50"
"EFSCH-20134G1-108","Half Price Drapes EFSCH-20134G1 Chai Embroidered Faux Silk Curtain","0","'07/04/15","No","100"
"EFSCH-20134G1-120","Half Price Drapes EFSCH-20134G1 Chai Embroidered Faux Silk Curtain","0","'07/04/15","No","40"
"EFSCH-20134G1-96","Half Price Drapes EFSCH-20134G1 Chai Embroidered Faux Silk Curtain","96","'07/04/15","No","30"
"EFSCH-AL450C2-108","Half Price Drapes EFSCH-AL450C Alexandria Faux Taffeta Silk Curtain","72",,"No",
